Unnamed: 0,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1408,Kevin Wimmer,FC Cologne,Bundesliga,32,2880,0,0,0,0.1654921248555183,0.1574385603889823,0.1654921248555183,0.0051716289017349,0.0049199550121556,0.0051716289017349,D,4,5,4,1,5.101605792529881,5.318738863803446
1409,Abdul Rahman Baba,Augsburg,Bundesliga,31,2668,0,0,4,0.2937984052114188,3.304869880899787,0.2937984052114188,0.0099107408054826,0.1114836166720318,0.0099107408054826,D S,7,24,4,0,6.006317060440779,8.184046939015388
1410,Oriol Romeu,VfB Stuttgart,Bundesliga,27,1858,0,0,0,0.4068716326728463,0.1539304833859205,0.4068716326728463,0.0197085290315157,0.0074562666871543,0.0197085290315157,M S,12,5,6,0,3.779566377401352,3.94749853014946
1413,José Reina,Bayern Munich,Bundesliga,3,192,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0,0,0,1,1.0021595656871796,1.0021595656871796
1414,Milan Badelj,Hamburger SV,Bundesliga,2,180,0,0,0,0.0439247898757457,0.0634873379021883,0.0439247898757457,0.0219623949378728,0.0317436689510941,0.0219623949378728,M,3,4,0,0,0.7873417120426893,0.851714950054884
1415,Kevin-Prince Boateng,Schalke 04,Bundesliga,18,1048,0,0,3,1.526419340632856,2.51770955696702,1.526419340632856,0.1310856303978597,0.2162155153883891,0.1310856303978597,F M S,25,12,2,1,2.549361165612936,6.003977429121733
1416,Antonio Rüdiger,VfB Stuttgart,Bundesliga,19,1603,0,0,1,1.126311738975346,0.7620464563369751,1.126311738975346,0.0632364669418472,0.0427848914973972,0.0632364669418472,D S,17,1,2,0,2.3676343392580748,2.520206464454532
1417,Jakub Blaszczykowski,Borussia Dortmund,Bundesliga,13,599,0,0,0,1.2101372759789228,0.8835856132209301,1.2101372759789228,0.1818236307814742,0.1327591071617424,0.1818236307814742,M S,7,15,0,0,2.6871454399079084,4.451464792713523
1418,Nicolás Castillo,Mainz 05,Bundesliga,1,27,0,0,0,0.0518898665904998,0.0,0.0518898665904998,0.1729662219683329,0.0,0.1729662219683329,S,1,0,0,0,0.0274779461324214,0.0274779461324214
1419,Heiko Westermann,Hamburger SV,Bundesliga,28,2310,0,0,0,1.330685093998909,1.0461753234267237,1.330685093998909,0.0518448737921652,0.0407600775361061,0.0518448737921652,D M S,15,8,4,0,2.359373478218913,2.893220057711005
1420,Mitchell Langerak,Borussia Dortmund,Bundesliga,9,810,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0,0,0,0,1.1491378098726273,1.1491378098726273
