,player_name,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,market_value_in_eur,height_in_cm,age_in_months_2015,points_per_game,team_rank,player_performance_valuation_standardized
31,Stefano Mauri,1898,9,9,2,7.055956742726266,1.9690094459801912,7.055956742726266,0.3345817212040906,0.0933671497040132,0.3345817212040906,F M S,43,23,5,0,4.800602121278644,11.463569074869156,50000.0,184.0,422.0,1.521594684385382,38,1.6969131801587334
32,Gonzalo Higuaín,2786,18,15,7,21.097411520779133,4.082173843868077,15.768319822847843,0.6815387784889168,0.1318720911515171,0.5093857803504328,F S,113,49,5,0,4.917353065684438,22.71157662756741,1000000.0,184.0,327.0,1.780730897009967,21,1.687529429387415
33,Jorginho,1278,0,0,0,0.2535485867410898,1.199434314854443,0.2535485867410898,0.0178555342775415,0.0844672052714396,0.0178555342775415,M S,8,21,5,0,4.868702583014965,5.915071150287986,100000.0,179.0,324.0,1.780730897009967,21,1.5149833183559467
34,James McCarthy,2416,2,2,1,1.4063433026894927,1.0400393884629011,1.4063433026894927,0.052388616408135,0.0387431891397603,0.052388616408135,M S,19,16,7,0,6.607742246240377,8.401337254792452,100000.0,180.0,292.0,1.5230263157894737,46,1.4778461293760476
35,Dwight Gayle,1069,5,4,1,5.163298174738884,0.766508536413312,4.402129277586937,0.4347023720547236,0.0645329918402227,0.3706189288894521,F M S,30,16,1,0,0.8092568069696426,3.3746634889394045,100000.0,174.0,305.0,1.1842105263157894,180,1.4290201987514217
36,Steven Davis,2668,0,0,2,3.1191515009850264,3.70224981661886,3.1191515009850264,0.1052187537813539,0.1248884870673528,0.1052187537813539,M S,30,49,3,0,9.784430680796504,14.560726234689357,200000.0,172.0,362.0,1.4473684210526316,143,1.3626548561641625
37,Khouma Babacar,1151,7,7,2,6.163025353103876,1.9176645800471304,5.401726517826319,0.4819046757422666,0.1499477082573777,0.4223765304990171,F S,40,11,2,0,0.9927620254456996,7.65267364308238,200000.0,185.0,264.0,1.57,37,1.2273833264279246
38,Artur Sobiech,521,2,2,1,2.438158942386508,0.9699769262224436,2.438158942386508,0.421179087936249,0.1675583941651054,0.421179087936249,F S,11,6,0,0,1.496961435303092,3.7186209950596094,250000.0,184.0,297.0,1.213235294117647,88,1.2130149509108958
39,Willian,2439,2,2,3,4.2270332388579845,5.783545650541782,4.2270332388579845,0.1559790863047226,0.2134149686546783,0.1559790863047226,M S,55,49,3,0,9.933883491903543,17.24670585989952,300000.0,171.0,340.0,1.9671052631578947,12,1.2087504664366429
40,Alberto Moreno,2273,2,2,0,1.935569200664759,1.6584648517891765,1.935569200664759,0.0766393436250894,0.0656673280514852,0.0766393436250894,D M S,18,34,6,0,3.9634487330913535,6.778576390817761,150000.0,175.0,155.0,1.730263157894737,24,1.1363806404550707
41,Mesut Özil,1861,4,4,5,3.860026102513075,6.6569958999753,3.860026102513075,0.1866750936196543,0.3219396190208366,0.1866750936196543,F M S,29,69,0,0,9.916828630492091,16.416587620973587,700000.0,180.0,317.0,1.917763157894737,15,1.1125658661658329
42,Yannick Bolasie,2788,4,4,6,4.837671763263643,5.125396749004722,4.837671763263643,0.1561658747108062,0.1654539840066086,0.1561658747108062,F M S,69,46,3,0,3.093482771888376,11.88829618319869,250000.0,185.0,310.0,1.1842105263157894,180,1.0960557941958256
43,José Fonte,3330,0,0,1,1.3340500881895423,1.238559783436358,1.3340500881895423,0.0360554077889065,0.0334745887415231,0.0360554077889065,D,23,11,5,0,7.11665834672749,7.302143367007375,100000.0,191.0,375.0,1.4473684210526316,143,1.0346204484911397
44,Hugo Almeida,679,0,0,1,0.4406473226845264,0.4976075161248445,0.4406473226845264,0.0584068616223967,0.0659568136247953,0.0584068616223967,F S,15,3,0,0,0.0851103700697422,0.5683733969926834,50000.0,191.0,370.0,0.7909090909090909,227,1.0316089119297418
45,Geoffroy Serey Dié,981,0,0,2,0.1719904597848653,0.9129705168306828,0.1719904597848653,0.0157789412646665,0.0837587630119892,0.0157789412646665,M S,9,7,5,0,2.1692344285547733,2.8352573197335005,100000.0,179.0,364.0,1.3161764705882353,73,1.0157146912258284
46,Luca Rizzo,615,1,1,0,0.2754819132387638,0.7198814880102873,0.2754819132387638,0.0403144263276239,0.1053485104405298,0.0403144263276239,M S,5,8,2,0,1.4747882075607777,2.3415016680955887,50000.0,188.0,275.0,1.2518796992481205,99,0.9920687643958632
47,Scott Dann,2926,2,2,3,1.2500938000157475,3.0851117242127657,1.2500938000157475,0.0384512788795,0.0948940721733249,0.0384512788795,D,19,13,6,0,2.950543016195297,3.481816951185465,200000.0,194.0,337.0,1.1842105263157894,180,0.9113705265228023
48,Nicola Sansone,2528,5,5,4,3.633037405088544,4.290621948428452,3.633037405088544,0.1293407304026776,0.1527515725310762,0.1293407304026776,F M S,46,44,3,1,3.6002701204270124,9.388993894681334,400000.0,174.0,282.0,1.263157894736842,178,0.8715513209704467
49,Fernandinho,2283,3,3,3,2.4068920481950045,2.695050650276244,2.4068920481950045,0.0948840492061105,0.1062437838479465,0.0948840492061105,M S,24,30,7,0,9.671797586604953,13.146952655166388,150000.0,173.0,352.0,1.9276315789473684,13,0.8671269647947629
50,Gervinho,1894,2,2,4,5.671633446589112,5.135851694270968,5.671633446589112,0.269507397145206,0.244047862980141,0.269507397145206,F S,38,33,1,0,5.26815518643707,12.862813644111156,300000.0,179.0,334.0,1.844884488448845,17,0.8666284164056751
51,Matías Fernández,2053,2,2,6,2.082268809899688,5.439946919679642,2.082268809899688,0.091283094442753,0.2384779458213189,0.091283094442753,M S,43,47,1,0,5.115630608052015,9.932770367711782,125000.0,176.0,346.0,1.57,37,0.8629352033461682
52,Lucas Biglia,2331,3,2,2,2.7861200869083405,2.8101687878370285,1.26352246850729,0.1075722041277351,0.108500725399113,0.0487846512937177,M,31,41,6,0,9.21994704194367,9.951664233580232,250000.0,178.0,350.0,1.521594684385382,38,0.8272884407394933
53,Simone Zaza,2597,11,10,2,10.17419253475964,1.856889994814992,8.651594804599881,0.3525904228449625,0.064351212758317,0.2998242327354599,F S,77,14,11,0,1.6126222051680088,11.206028249114752,250000.0,186.0,285.0,1.263157894736842,178,0.8031587959140456
54,Filip Djordjevic,1485,8,8,2,5.864980418235064,1.561488078907132,5.864980418235064,0.3554533586809129,0.0946356411458868,0.3554533586809129,F S,34,16,2,0,0.4915447710081935,7.369786955416202,200000.0,186.0,330.0,1.521594684385382,38,0.7915727362904872
